mprid,ldp_zip,listing_date,pending_date,ldp_views_day1,ldp_views_day3,ldp_views_day7,photo_count,type,bedrooms,year_built,sqft,price
1110716141,90006,2016-07-17,,0,30,39,5,condo,2,2009,760,419000
2990279531,92833,2016-05-05,,0,4,32,5,single_family,3,1958,1574,715000
2986922202,90713,2016-08-11,,0,31,57,26,single_family,3,1950,1452,545999
2101314230,91436,2016-06-02,2016-06-13,7,54,111,12,single_family,3,1949,1125,599000
1477726766,93536,2016-08-03,2016-08-15,25,83,146,23,single_family,5,1956,1804,289900
1769683201,91016,2016-07-07,,0,13,62,24,single_family,5,1922,2250,949000
2233248261,90254,2016-04-28,,7,57,136,25,condo,2,1972,941,519900
2423637852,92688,2016-05-12,,14,58,102,36,condo,3,1991,1821,599500
2252259088,92677,2016-06-05,,35,89,113,24,condo,2,1988,918,389900
1103858200,92867,2016-05-12,,0,0,0,1,single_family,4,1955,1295,544900
1821637703,90062,2016-04-27,,6,21,30,6,multi_family,2,1915,2038,528999
1007083133,92606,2016-05-17,,1,43,73,32,single_family,4,2006,3085,1249000
1795073383,91020,2016-06-05,2016-06-24,19,75,129,15,single_family,1,1947,669,439000
1167443223,93063,2016-07-19,2016-07-21,0,19,62,1,single_family,1,1925,816,415000
2597684291,90277,2016-06-06,,10,53,81,36,condo,3,1995,2050,1095000
1185621085,90703,2016-05-11,,0,40,40,1,single_family,4,1971,1200,618000
2560068467,92782,2016-06-07,,9,58,98,12,condo,1,1995,1154,424900
1899245908,91362,2016-04-22,2016-07-12,15,204,345,34,single_family,3,1994,1631,825000
2364811437,92657,2016-06-03,,16,113,147,17,single_family,5,2001,3700,3288000
1108452977,91506,2016-08-04,,0,0,0,15,condo,2,2002,1088,415000
1725768880,93534,2016-06-10,2016-06-16,0,62,133,12,single_family,3,1995,1378,195000
1453002541,91362,2016-07-12,,14,57,91,0,single_family,4,1999,2632,3950
1941454005,91208,2016-05-09,,15,101,150,11,single_family,3,1954,2356,895000
2950730213,91354,2016-04-20,,1,40,87,3,condo,3,2016,1630,465403
1072656699,90026,2016-06-10,,6,51,63,36,land,,,,949000
1641746591,92691,2016-07-06,,0,47,101,1,single_family,4,1976,2230,649000
2761025321,90278,2016-08-10,,3,343,399,31,condo,4,2008,1750,839000
1810962551,92675,2016-08-11,,19,84,158,8,mobile,2,2013,1700,279900
2830363452,91367,2016-07-25,,0,237,273,12,condo,3,1987,1020,434900
2360433130,93510,2016-06-15,2016-06-24,0,2,6,6,land,,,,55000
2391333048,92673,2016-05-24,,33,76,122,36,single_family,5,2005,3833,1250000
2689303087,91748,2016-06-23,,0,63,70,31,single_family,5,1986,3385,939000
1377722919,91390,2016-06-08,,7,95,129,1,single_family,5,2015,3000,727900
1619253889,90745,2016-07-28,,0,41,96,5,single_family,5,1980,2377,699999
1648502060,91354,2016-07-15,2016-07-28,60,473,573,22,condo,2,1995,1090,399000
2913908591,92679,2016-06-09,,19,111,228,21,condo,2,1989,1038,369900
2203275071,90066,2016-08-03,,18,31,44,17,single_family,4,1948,2142,1399000
2757987368,91744,2016-08-12,,25,86,127,15,single_family,3,1958,1071,429900
1394970297,92804,2016-07-11,,0,0,0,20,single_family,4,1959,1917,540000
2794180880,91766,2016-07-25,,22,45,86,3,land,,,,129000
1186493945,91768,2016-07-19,,0,23,37,3,single_family,3,1924,1344,375000
2834684068,91321,2016-04-18,2016-04-23,0,10,178,20,condo,2,1964,864,179950
1709741376,91325,2016-05-24,2016-07-22,13,40,73,4,condo,2,1971,1071,279000
2552928109,90740,2016-06-22,,0,25,48,14,single_family,2,1962,718,205000
2559483584,92625,2016-06-16,,0,0,35,12,condo,3,1992,2307,2495000
1040343919,90280,2016-07-07,,0,44,109,36,multi_family,2,1930,1480,500000
2658547371,92637,2016-08-01,,55,133,184,24,single_family,2,1966,1009,194000
2631417003,92626,2016-06-14,,19,53,81,21,single_family,5,1962,2287,1150000
2499779173,90620,2016-08-14,,30,67,67,22,single_family,4,1955,1607,574900
2758422667,90504,2016-08-03,,0,23,66,35,single_family,4,1952,2287,757700
1475723207,90275,2016-07-18,,0,5,21,2,condo,2,2016,1767,979990
2630109026,,2016-05-03,,0,0,0,8,single_family,3,1953,1418,439000
1718103284,92804,2016-05-28,,20,67,94,33,single_family,3,1958,2085,635000
1117587995,90706,2016-06-07,,0,39,85,33,condo,3,1991,1378,345000
1122853865,90805,2016-07-12,,0,112,183,30,single_family,2,1932,839,379000
2454722906,90210,2016-07-22,,2,16,104,36,single_family,4,1980,5831,4230000
1765628487,92618,2016-06-16,,28,79,106,36,single_family,4,2014,3428,1620000
2660711212,91101,2016-07-12,,1,406,456,36,condo,3,2004,2097,1148000
1975881255,92703,2016-05-13,,0,0,0,1,single_family,2,1954,792,405000
2289715611,90046,2016-07-08,,0,61,131,24,single_family,2,1926,1055,949000
1422012867,90293,2016-04-27,,0,16,32,1,multi_family,9,1959,4342,1800000
1985343074,92801,2016-08-11,,36,76,103,36,condo,3,1984,1190,420000
1920629344,91326,2016-08-05,2016-08-05,19,82,135,1,single_family,5,1997,2712,715000
1383255493,92620,2016-06-06,,0,33,58,36,single_family,5,1998,4412,2089333
1671783674,92612,2016-06-30,,0,37,98,22,condo,1,2006,610,329000
2655453719,93543,2016-05-02,,6,87,104,16,single_family,3,1993,2280,319999
2953000045,91790,2016-05-20,,0,0,42,5,single_family,4,1993,1957,505000
2054302280,91326,2016-06-14,2016-07-02,0,241,298,17,single_family,3,1960,1951,669000
1591615155,91706,2016-04-17,,10,43,43,15,single_family,4,1977,1492,449000
1768306317,92618,2016-06-09,,21,109,138,36,single_family,5,2010,4400,1769888
2719873052,92653,2016-05-11,,0,9,109,3,single_family,4,1976,3178,729000
1858970657,91367,2016-06-09,,27,60,101,9,single_family,3,1952,1264,599000
1102656244,92647,2016-05-27,,0,89,189,36,single_family,4,1998,2493,999980
1585859050,92677,2016-05-17,,68,165,239,19,single_family,4,1989,2633,885000
2371155665,90001,2016-06-20,,9,64,87,6,multi_family,2,1928,1603,380000
2011999902,92660,2016-07-27,,12,79,166,1,single_family,3,1999,2917,1985000
2848698296,93551,2016-05-12,2016-08-02,3,11,23,12,single_family,4,2005,4088,419000
1426428589,91724,2016-06-29,,0,30,89,2,mobile,2,1988,,59000
1317602777,91355,2016-08-08,,1,298,334,32,condo,2,1999,2173,630000
2945853727,92656,2016-05-18,,23,55,95,25,single_family,5,1999,3300,1350000
1367881809,91791,2016-08-16,,31,43,43,22,single_family,4,1963,1899,565000
1032561880,91766,2016-07-08,,0,101,242,32,single_family,3,1947,1171,349999
1405733337,91214,2016-07-29,,35,126,256,11,condo,2,1986,856,317000
1690049089,90032,2016-08-16,,5,5,5,4,land,,,,40000
2686471578,91801,2016-06-08,,53,162,593,36,single_family,4,1925,4397,1998000
1372284323,91326,2016-07-13,,21,102,165,0,single_family,5,2006,2432,674900
1371400090,93591,2016-05-20,,6,17,29,12,land,,,,21700
2328583805,92808,2016-06-23,,0,41,94,19,condo,2,1996,1181,429900
2374811947,90631,2016-05-24,,0,3,35,36,single_family,3,1956,1538,619900
2602538526,90804,2016-05-09,,0,47,96,1,multi_family,5,1962,2015,635000
1265079992,93063,2016-06-02,2016-06-08,29,115,176,26,single_family,4,1971,1464,549000
1349014939,92660,2016-04-26,,0,14,150,36,mobile,2,2005,1152,349000
2470271027,90266,2016-05-06,,9,51,114,20,condo,2,1987,1474,985000
1690367702,91709,2016-07-20,,0,45,139,36,single_family,3,1973,1662,649888
1611597404,93551,2016-08-12,,36,101,148,35,single_family,3,1989,1414,294900
2675145329,91362,2016-05-11,,0,140,219,36,single_family,5,1993,4171,1599999
2333641488,91406,2016-05-07,,0,0,0,21,single_family,3,1951,1181,499000
