mprid,pending_date,listing_date,photo_count,type,bedrooms,year_built,sqft,price
1034143771,2016-05-26,2016-03-10,30,single_family,5,1998,3650,1599000
1072446863,2016-05-17,2016-04-06,17,single_family,2,1942,645,300000
1166076580,,2016-07-20,27,single_family,4,1969,1400,799000
1201762832,2016-03-22,2016-02-16,19,single_family,4,1968,1888,725000
1231947787,2016-04-04,2016-03-03,26,multi_family,,1927,8960,4995000
1307744085,2016-08-05,2016-07-24,21,single_family,3,1944,1100,750000
1313388851,,2016-05-17,4,single_family,5,1957,1589,799000
1357424783,2016-05-19,2016-04-20,29,single_family,4,1999,2366,3495000
1387421300,,2016-06-28,31,single_family,2,1911,1496,1995000
1419596787,2016-04-27,2016-04-17,16,condo,3,1971,1126,569999
1430555787,2016-03-23,2016-01-28,24,single_family,3,1957,1407,499000
1458814744,2016-07-11,2016-06-28,12,single_family,4,1977,1477,382900
1510413428,2016-06-07,2016-05-17,17,condo,0,1975,1393,595000
1646684069,2016-05-21,2016-05-04,13,condo,4,1984,1611,675000
1695648368,,2016-08-04,13,multi_family,4,1965,1620,640000
1749695571,2016-05-25,2016-04-29,21,condo,2,2002,1350,638000
1826261706,2016-06-07,2016-06-06,19,single_family,2,1949,850,559000
1844660351,2016-07-13,2016-06-15,26,single_family,4,1992,2851,949950
1861728153,,2016-07-19,28,single_family,3,1963,1823,899950
1869313497,2016-06-14,2016-06-02,9,condo,1,2002,669,529000
1888365078,2016-07-08,2016-06-11,14,single_family,3,1988,1481,869999
1889911172,,2016-05-19,22,single_family,4,2000,2215,445000
2095910178,2016-07-29,2016-07-29,25,single_family,3,2002,1513,389900
2105546862,2016-05-09,2016-01-19,13,land,,,,449000
2109049860,,2015-07-16,4,land,,,,85000
2122214829,2016-07-10,2016-06-10,30,single_family,3,1940,2184,849000
2148335899,2016-07-21,2016-05-25,30,single_family,4,2015,3124,749900
2189583827,,2016-08-02,0,single_family,4,1988,4250,3650000
2294335243,2016-07-28,2016-07-01,31,single_family,2,1941,1420,1348000
2305258687,2016-03-29,2016-03-18,24,condo,2,2000,1178,619950
2364374334,2016-07-14,2016-07-05,25,single_family,4,1962,1556,815000
2416821578,2016-06-10,2016-04-01,10,single_family,3,1923,1225,949000
2472772400,,2016-08-01,9,condo,2,1976,1358,418500
2538673964,2016-03-15,2016-03-09,21,single_family,3,1999,1626,829000
2549022949,,2016-04-07,8,land,,,,450000
2550585951,2016-05-05,2016-04-21,19,multi_family,4,1920,2800,849000
2571478510,2016-04-25,2016-04-12,19,single_family,3,1967,1288,759950
2571741327,,2016-07-23,25,condo,2,1990,857,425000
2664447926,2015-01-10,2013-06-14,3,single_family,3,1987,1840,529900
2751659342,2016-07-23,2016-07-13,26,single_family,3,1984,2546,1239000
2849851952,2016-05-10,2016-04-19,30,single_family,5,1985,2564,434900
2854671028,,2016-06-16,24,single_family,3,1928,2140,888888
2863282212,,2016-06-13,30,single_family,4,2001,5045,5400000
2866947909,2016-03-24,2016-03-16,13,single_family,4,1907,1479,449000
2942248744,2016-07-07,2016-05-12,15,single_family,3,1960,1556,779000
1003424070,,2016-06-17,14,single_family,3,1955,2068,1295000
1039241716,2016-03-15,2015-12-08,23,single_family,3,1959,,858000
1045315392,2016-06-12,2016-06-06,25,single_family,3,1968,2010,2198000
1073588472,2016-05-31,2016-04-14,1,single_family,3,1954,892,335000
1087285006,2016-05-03,2016-04-20,30,single_family,4,1987,2036,849950
1153425756,2016-05-11,2016-05-04,25,single_family,3,1949,1350,589900
1158184424,,2016-08-04,1,single_family,4,1984,2710,875000
1295563897,2016-06-02,2016-05-04,19,condo,2,1986,1158,629000
1351453826,,2016-04-05,20,single_family,2,1915,1106,430000
1365084998,2016-04-11,2016-03-15,0,single_family,6,1927,3110,960000
1409444766,,2016-08-05,1,multi_family,8,1962,3640,799000
1431252314,2016-05-18,2016-05-08,30,single_family,5,2007,3743,1479000
1495033966,2016-06-06,2016-05-16,22,condo,3,,1290,1395000
1495897505,2016-06-22,2016-04-11,30,single_family,4,1988,4577,2295000
1529723609,,2016-04-25,4,condo,2,1981,,220000
1705910563,2016-07-03,2016-05-18,28,multi_family,8,1963,3505,829000
1800023976,2016-05-26,2016-05-13,28,single_family,3,1925,1389,619000
1831442314,2016-07-15,2016-04-07,30,single_family,4,1957,1668,773000
1993457849,2016-06-01,2016-05-27,21,condo,2,1980,1287,610000
2025141268,2016-05-16,2016-04-07,36,single_family,4,1963,3110,2425000
2038105475,2016-06-23,2016-03-04,5,single_family,3,1900,1700,850000
