mprid,pending_date,listing_date,photo_count,type,bedrooms,year_built,sqft,price
1017992483,,2016-05-31,8,single_family,3.0,2016,2623.0,1173509.0
1020153053,,2016-07-08,12,condo,1.0,1981,622.0,499000.0
1050929893,2016-07-14,2016-07-08,4,multi_family,4.0,1944,1600.0,419500.0
1131676967,,2016-07-27,11,single_family,3.0,1951,1410.0,545000.0
1202059063,,2016-07-07,36,single_family,4.0,1976,2420.0,1139000.0
1247852243,2016-07-21,2016-06-15,30,condo,3.0,1991,1608.0,465000.0
1271862393,2016-07-20,2016-06-17,13,single_family,4.0,2003,2530.0,799000.0
1322874239,,2016-05-06,3,land,,,,299000.0
1330240300,,2016-04-05,15,land,,1989,,1548000.0
1382277193,,2016-06-30,25,single_family,7.0,1920,2910.0,1600000.0
1398865215,2016-06-10,2016-06-03,30,single_family,3.0,1987,2365.0,719000.0
1422603620,,2016-06-26,30,single_family,4.0,1989,3140.0,1150000.0
1466915850,2016-06-03,2016-06-02,8,condo,2.0,2016,1498.0,654990.0
1516456933,2016-04-14,2016-03-23,12,single_family,4.0,1954,1313.0,344980.0
1521034744,2016-07-21,2016-07-08,36,single_family,4.0,1906,1970.0,1875000.0
1521619566,,2016-05-11,29,single_family,3.0,1969,1924.0,950000.0
1611306643,,2016-07-25,0,single_family,3.0,2006,1443.0,389900.0
1693193891,,2016-07-30,24,single_family,2.0,1909,1056.0,698000.0
1704296880,,2016-07-25,30,single_family,5.0,1992,3483.0,974900.0
1749048080,,2016-07-12,24,single_family,2.0,1927,1250.0,699000.0
1815743264,2016-07-27,2016-07-15,13,single_family,3.0,1927,2130.0,1595000.0
1908032936,2016-06-14,2016-04-15,30,single_family,4.0,1988,3194.0,1595000.0
1938545917,,2016-07-15,25,single_family,3.0,1938,2028.0,1598000.0
2030674695,2016-06-25,2016-06-17,23,single_family,4.0,1941,1561.0,898000.0
2151786317,,2016-07-26,26,single_family,4.0,1978,3317.0,777000.0
2295660397,2016-05-31,2015-12-01,11,single_family,5.0,2016,3863.0,764620.0
2297446075,2016-07-19,2016-05-11,25,single_family,4.0,2013,3331.0,1600000.0
2388902142,,2016-07-22,17,single_family,3.0,2001,1727.0,469900.0
2398577008,2016-07-22,2016-07-20,15,condo,2.0,1986,1026.0,529000.0
2401999699,,2015-09-18,19,single_family,1.0,1941,610.0,399000.0
2448291825,2016-06-02,2016-05-18,30,single_family,3.0,1966,1997.0,795000.0
2455678705,2016-07-10,2016-05-20,24,condo,2.0,1980,944.0,284997.0
2465714616,2016-07-26,2016-06-15,27,single_family,4.0,1998,1533.0,369000.0
2501929745,2016-07-22,2016-06-22,30,single_family,8.0,2004,11238.0,2464800.0
2533401306,,2016-05-17,6,land,,,,695000.0
2580670939,,2016-07-22,26,single_family,2.0,1937,1530.0,515000.0
2614319822,2016-03-15,2015-08-28,12,single_family,4.0,1947,1862.0,649000.0
2621371248,2016-06-20,2016-06-13,9,single_family,4.0,2016,2810.0,1360000.0
2697547235,2016-06-02,2016-05-08,30,single_family,6.0,2012,4680.0,819800.0
2705610009,,2016-07-29,25,single_family,4.0,1966,2309.0,830000.0
2738059535,2016-06-22,2016-06-10,30,condo,2.0,1987,918.0,375000.0
2783581611,2016-07-14,2016-06-23,25,single_family,3.0,1935,,969000.0
2814664678,2016-06-27,2016-06-07,12,single_family,3.0,1962,1645.0,499000.0
2831806887,,2016-06-10,1,condo,2.0,2016,1355.0,1176810.0
2937997339,2016-07-08,2016-06-24,25,condo,3.0,1978,1473.0,539000.0
2960133673,2016-04-11,2015-06-10,1,land,,,,998888.0
1043853797,2016-07-26,2016-07-07,29,single_family,3.0,1962,1820.0,1795000.0
1074971714,2016-06-24,2016-06-17,22,single_family,4.0,2003,2286.0,479900.0
1130166397,,2016-07-17,29,single_family,5.0,2005,3620.0,520000.0
1135905352,2016-07-19,2016-06-25,20,single_family,3.0,1967,1302.0,349900.0
1145799809,2016-06-03,2014-12-15,6,land,,,,950000.0
1196081625,2016-06-14,2016-05-21,30,condo,3.0,1979,1434.0,425888.0
1238810986,2016-07-03,2016-05-26,24,condo,1.0,2009,1744.0,684900.0
1243022037,2016-07-18,2016-04-20,23,condo,3.0,2010,1780.0,599000.0
1270163170,2016-06-10,2016-05-31,15,single_family,4.0,1977,1705.0,595000.0
1282524489,2016-07-22,2016-07-15,18,single_family,2.0,1977,2310.0,1999950.0
1313463383,,2016-05-26,30,single_family,5.0,1976,3445.0,1388888.0
1351421481,,2016-07-22,29,condo,3.0,2011,1572.0,549950.0
1471800472,2016-06-21,2016-06-07,23,single_family,4.0,2003,2403.0,1099000.0
1577230532,,2016-05-27,25,single_family,2.0,1985,1464.0,995000.0
1596280582,2016-05-26,2016-05-13,25,single_family,3.0,1963,1299.0,439000.0
1604026026,2016-04-11,2015-06-08,14,single_family,4.0,2015,3011.0,1850000.0
1793339737,2016-06-30,2016-06-21,18,condo,3.0,1969,2399.0,715000.0
1886802599,2016-07-15,2016-07-08,12,single_family,3.0,1955,1587.0,1299000.0
1895866108,,2015-10-19,7,land,,,,779000.0
1939083568,,2016-07-13,34,multi_family,,1961,4472.0,2800000.0
2014341298,,2015-02-19,28,single_family,5.0,1989,5824.0,3500000.0
2050927343,2016-06-16,2016-06-10,16,single_family,3.0,1995,1226.0,649000.0
2050950088,,2016-07-16,23,condo,2.0,1966,1180.0,580000.0
2055897073,,2016-07-16,25,single_family,3.0,1975,1547.0,675000.0
2063041646,,2016-05-06,10,condo,3.0,2006,1847.0,1350000.0
2161736324,2016-07-07,2016-06-24,16,single_family,3.0,1984,1304.0,254900.0
2239220778,2016-06-14,2016-06-03,19,single_family,3.0,1957,1449.0,524950.0
2258616463,,2016-05-03,1,land,,,,112000.0
2307956908,,2016-07-07,36,single_family,5.0,1978,6320.0,5988000.0
2314870642,2015-04-21,2014-07-07,1,land,,1912,,1000000.0
2334441223,,2016-06-20,23,single_family,4.0,1978,2179.0,799000.0
2396944830,,2016-07-27,36,single_family,3.0,1959,1160.0,889000.0
