mprid,pending_date,listing_date,photo_count,type,bedrooms,year_built,sqft,price
1021243458,2016-06-15,2016-05-31,30,single_family,3,1958,1986,825000
1039845461,2016-07-07,2016-06-16,24,single_family,3,1971,1560,840000
1135730731,,2016-07-09,30,single_family,3,1987,3365,1395000
1220854977,,2014-03-19,22,land,2,1937,,4000000
1248672094,2016-05-31,2016-05-06,15,single_family,3,1990,1344,330000
1322959901,,2016-06-29,30,single_family,4,1938,3523,1695000
1344476871,2016-07-21,2016-07-08,30,single_family,4,1972,1536,799000
1404721775,2016-05-27,2016-05-16,22,single_family,3,2004,2406,1098000
1737948423,2016-07-22,2016-07-11,22,single_family,3,1950,1310,825000
1773135174,2016-07-08,2016-05-06,30,multi_family,8,1979,4000,2099000
1865836395,,2016-05-14,30,condo,2,1997,1490,1295000
2028066537,2016-06-23,2016-06-15,30,single_family,4,1961,1858,1425000
2222227508,2016-07-07,2016-06-29,24,condo,3,1991,1475,459900
2324060166,2016-07-13,2016-07-04,35,single_family,3,1992,2249,799000
2334341195,2016-05-19,2016-05-08,3,single_family,4,1956,1620,699000
2456934375,2016-05-25,2016-04-05,28,single_family,2,1972,1135,429000
2470806782,,2016-07-25,15,single_family,5,2006,2968,568000
2475142196,2016-05-21,2016-05-12,31,single_family,3,1952,1004,1950000
2516731691,2016-07-21,2016-06-16,13,single_family,4,1992,1697,449000
2608958938,2016-05-03,2016-04-20,30,single_family,5,1972,2328,899000
2709599727,2016-05-20,2016-05-06,7,single_family,2,1925,1358,639950
2927467800,2016-05-23,2016-04-15,18,single_family,3,1948,1448,499000
2928896164,,2016-05-20,29,single_family,4,1992,3565,1549000
1078791029,2016-06-29,2016-06-17,30,condo,2,1979,1161,695000
1305728756,2016-05-16,2016-04-27,27,single_family,5,2016,3581,704900
1550999679,2016-06-02,2016-05-24,24,condo,5,2005,2254,819000
1582868633,,2016-03-20,3,land,,,,185000
1596732726,,2016-07-21,17,condo,2,1964,1110,1145000
1602724441,2016-07-24,2016-07-23,25,single_family,4,1965,2000,699000
1644304123,2016-06-22,2016-06-10,21,single_family,3,1925,1328,879000
1683502820,2016-07-12,2016-05-06,7,single_family,7,1970,,1025000
1757569844,2016-05-18,2016-03-16,30,single_family,4,1987,3449,1179950
1898274209,2016-06-20,2016-05-12,1,single_family,3,2016,2298,486500
1906138546,,2016-06-24,5,land,,,,299000
1913430598,2016-06-16,2016-06-03,16,single_family,3,1954,1110,799800
1928605999,,2016-06-06,30,multi_family,5,1914,2280,1250000
1987623879,2016-04-11,2015-08-10,1,single_family,4,1978,2054,725000
2102863714,,2015-11-16,7,land,,,,359000
2125754207,2016-04-26,2016-04-13,30,single_family,4,1952,2143,859000
2141701950,,2016-07-05,28,single_family,4,2003,2774,1149000
2160546504,2016-07-07,2016-05-12,20,single_family,2,1950,,950000
2211621082,,2016-07-29,36,single_family,4,2008,2114,948000
2283550864,2016-07-28,2016-07-14,21,single_family,3,1999,1520,1298000
2368382241,2016-06-27,2016-05-26,36,single_family,3,2010,2532,1050000
2396959289,2016-07-23,2016-05-24,30,single_family,4,1990,2637,1299999
2428746159,,2016-03-21,15,multi_family,2,1923,2665,1665000
2447282893,2016-04-16,2016-04-15,25,single_family,3,1951,1000,825000
2599791547,,2016-06-23,9,single_family,3,1955,1513,939000
2646022652,2016-05-24,2016-04-07,33,condo,2,1991,1320,799000
2761448026,2016-05-11,2016-04-30,28,single_family,3,1922,1252,309988
2798192671,,2014-08-18,25,single_family,2,1978,1120,935000
2999142037,2016-06-23,2016-06-14,19,condo,1,1974,758,280000
1065911688,2016-05-13,2016-05-10,4,single_family,4,1954,1815,199000
1076569748,2016-05-03,2016-04-27,23,single_family,4,1954,1051,379900
1123421261,2016-07-13,2016-07-08,20,single_family,4,1970,1810,365000
1262624078,2016-05-18,2016-05-09,20,condo,1,1970,658,299000
1299385111,,2016-04-20,36,single_family,4,1987,3217,1545000
1534786060,2016-04-28,2016-04-06,30,single_family,7,1941,4335,1895000
1562700819,2016-06-22,2016-05-16,12,single_family,4,1981,2259,599900
1579906710,2016-06-15,2016-02-25,28,single_family,3,1950,2200,1900000
1634649982,,2016-07-31,12,condo,2,1973,1396,449000
1760915555,2016-06-10,2016-05-13,30,condo,2,1988,840,574888
1855513851,2016-06-08,2016-05-05,26,condo,3,1981,2430,1100000
1874510371,2016-06-22,2016-06-08,30,single_family,4,2000,3071,1290000
2035421562,2016-07-28,2016-07-14,25,single_family,2,1949,,549000
2039887207,,2016-06-14,36,single_family,5,2005,4345,2300000
2134841746,2016-06-20,2016-05-28,4,multi_family,6,1952,3276,519900
2143348837,,2016-04-28,24,single_family,5,1969,4101,2995000
2161153733,,2016-07-01,30,single_family,5,2004,3495,539000
2210442911,,2016-07-12,25,single_family,3,1994,2766,487500
2212600513,2016-05-27,2016-05-10,36,condo,3,1909,1307,1395000
2260043880,2016-03-16,2016-03-04,30,single_family,5,1988,1929,378000
2287588823,2016-05-12,2016-04-29,23,single_family,3,1998,1622,808000
2311136925,,2016-06-04,4,condo,1,1995,1050,849000
2345144250,2016-06-01,2016-04-22,13,condo,1,2003,912,898000
2430059669,,2016-07-22,1,single_family,4,1992,1741,666000
2458368548,2016-07-22,2016-07-15,19,single_family,3,1947,1750,1495000
2490153707,2016-05-28,2016-04-21,9,single_family,4,2003,2135,419900
2576265334,2016-06-02,2016-05-01,27,single_family,3,1942,1528,529000
2593327602,2016-05-11,2016-04-27,36,single_family,3,1913,2380,2195000
2595775904,,2016-07-27,12,condo,2,1971,1039,395000
2640221945,2016-07-16,2016-05-31,29,condo,2,1972,872,310000
2729883772,2016-06-02,2016-05-26,6,multi_family,8,1910,2961,475000
2735348107,2016-06-06,2016-06-01,11,condo,2,2016,1588,1365000
2963882923,2016-05-04,2016-04-28,30,single_family,3,1979,2425,1499000
2993193060,2016-06-02,2016-01-13,16,single_family,3,2008,2402,465950
1015715320,2016-07-12,2016-07-12,23,single_family,4,2001,2530,399950
1035700381,2016-05-16,2016-05-11,28,single_family,3,1989,1488,750000
1100832900,,2016-06-18,36,condo,2,1900,,1425000
1153076605,2016-07-09,2016-06-21,4,multi_family,10,1970,4824,1499950
1160182295,2016-06-04,2016-05-09,28,single_family,3,1988,2041,949000
1171339302,2016-06-22,2016-05-25,24,single_family,4,1966,1606,650000
1190822020,,2016-06-24,20,single_family,4,2013,2236,570000
1216881158,2016-06-07,2016-04-06,13,condo,3,1984,,345000
1339391919,2016-07-15,2016-07-04,23,single_family,3,1950,1888,998000
1372383651,2016-05-04,2016-03-21,13,single_family,4,1976,2181,699000
1380662101,2016-07-30,2016-06-18,13,single_family,3,1972,1208,655000
1407110832,,2016-04-23,23,single_family,3,1981,1560,749000
1458117941,2016-06-03,2016-03-25,36,single_family,3,1926,1808,1088000
1460081786,,2016-07-22,1,single_family,4,1977,1503,354900
1635577778,2016-07-27,2016-07-14,36,single_family,4,1984,2496,1198888
1714809024,2016-05-27,2016-05-21,30,condo,2,1990,1403,628500
